"","#treeName","pi_1","pi_2","pi_3","pi_4","r_1","r_2","r_3","r_4","r_5","r_6","alpha","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--714420091.msf.Rep0",0.211640038721373,0.329061535912377,0.193009920253575,0.193009920253575,0.206566911759134,0.141017346180511,0.182434169999919,0.190319823247018,0.102653563296419,0.177008185516999,3.39965218690757,111,0.9999,500,10,306,10,"1000 100000 1000 100000 1000 100000"
"2","sim--1684653628.msf.Rep0",0.271999027070703,0.267543623860107,0.233886868701576,0.233886868701576,0.219032465764689,0.180527575678655,0.264033776959271,0.116888391016841,0.115310286498069,0.104207504082476,1.06912047190312,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"3","sim-1316668952.msf.Rep0",0.20421097405151,0.313039396713372,0.222327554852786,0.222327554852786,0.201069607539368,0.086637284059859,0.193164062345813,0.165076591626583,0.156186655486838,0.197865798941538,2.26421030301571,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"4","sim--947209301.msf.Rep0",0.331252029704382,0.163747257070514,0.303340701181588,0.303340701181588,0.119840557372099,0.157177105888927,0.236848435920787,0.117101041308533,0.221557904185676,0.147474955323977,3.08874889465239,111,0.9999,500,10,302,10,"1000 100000 1000 100000 1000 100000"
"5","sim--1814680554.msf.Rep0",0.192992429438148,0.164410802918894,0.495996593133306,0.495996593133306,0.157208146316949,0.20619311000734,0.179290455694951,0.194705087654776,0.116038144639283,0.146565055686702,7.75391220524691,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"6","sim-947946789.msf.Rep0",0.223632393904608,0.29696999657137,0.260182333462684,0.260182333462684,0.13888962519003,0.114751691702601,0.252799440718571,0.215296379432887,0.108819582380179,0.169443280575732,1.85757181326141,111,0.9999,500,10,305,10,"1000 100000 1000 100000 1000 100000"
"7","sim-1963491310.msf.Rep0",0.326811828826214,0.219694722024778,0.303429289776742,0.303429289776742,0.19838422716317,0.180001324633194,0.167319253933436,0.168077859083703,0.146700216150248,0.139517119036248,9.42888038789904,111,0.9999,500,10,312,10,"1000 100000 1000 100000 1000 100000"
"8","sim-559442320.msf.Rep0",0.177801682964638,0.31807615912409,0.293621877149506,0.293621877149506,0.224068634118116,0.151177675276671,0.217689142263132,0.17976588570139,0.149104621104422,0.0781940415362691,5.00399035737451,111,0.9999,500,10,314,10,"1000 100000 1000 100000 1000 100000"
"9","sim--209764974.msf.Rep0",0.276478652724528,0.184067592290491,0.331941327312509,0.331941327312509,0.137353842121768,0.0728206510540683,0.178717291953583,0.195409709172953,0.122691429464931,0.293007076232697,5.19338666545483,111,0.9999,500,10,320,10,"1000 100000 1000 100000 1000 100000"
"10","sim--345697927.msf.Rep0",0.280653230594353,0.267493344574165,0.261127700801891,0.261127700801891,0.0782212624060718,0.157766659628297,0.152619556278268,0.303404889680573,0.160112903995052,0.147874728011738,4.93721913339298,111,0.9999,500,10,313,10,"1000 100000 1000 100000 1000 100000"
"11","sim--992520285.msf.Rep0",0.246985607676981,0.228666697671962,0.209505189093762,0.209505189093762,0.133027239610502,0.158703000253208,0.147711952488145,0.241249831574051,0.220696131436432,0.0986118446376626,4.20980181386289,111,0.9999,500,10,317,10,"1000 100000 1000 100000 1000 100000"
"12","sim--1361242449.msf.Rep0",0.318687573382937,0.1627311759054,0.278645546435682,0.278645546435682,0.273272555866044,0.230761783565529,0.124007341603627,0.153476475915503,0.113204761611256,0.105277081438042,5.71724281383647,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"13","sim-1038568758.msf.Rep0",0.317158483716612,0.267334705194772,0.271569693820731,0.271569693820731,0.207699281489899,0.200330619641196,0.1237922370131,0.142288620733046,0.160172069958142,0.165717171164617,7.75391220524691,111,0.9999,500,10,303,10,"1000 100000 1000 100000 1000 100000"
"14","sim-1640080131.msf.Rep0",0.279399938904231,0.203246523983711,0.298999464453926,0.298999464453926,0.215905736528571,0.118788385330166,0.158062704163532,0.159945221252762,0.182473615260513,0.164824337464455,5.0502770838958,111,0.9999,500,10,318,10,"1000 100000 1000 100000 1000 100000"
"15","sim--1037831270.msf.Rep0",0.19877442015914,0.25170598575154,0.280062632155367,0.280062632155367,0.20303521193077,0.185100796511911,0.0914424975550316,0.106770507810888,0.229565240991849,0.18408574519955,7.75391220524691,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"16","sim--669109106.msf.Rep0",0.204672310301245,0.303249652219224,0.245596012272248,0.245596012272248,0.142885930250047,0.278044750407126,0.163745843602023,0.142421013758416,0.14317518075422,0.129727281228168,0.379896496183854,111,0.9999,500,10,319,10,"1000 100000 1000 100000 1000 100000"
"17","sim-1271357968.msf.Rep0",0.244532786565087,0.142994540589589,0.307151601728404,0.307151601728404,0.128195861944093,0.174423580263943,0.214332822462109,0.152917431887093,0.189940875255312,0.140189428187449,5.86908260609445,111,0.9999,500,10,307,10,"1000 100000 1000 100000 1000 100000"
"18","sim-624535610.msf.Rep0",0.285315535639196,0.331528313103863,0.21927494471627,0.21927494471627,0.098681766959472,0.165673527035126,0.119921199806942,0.0999871943337589,0.319290269546316,0.196446042318386,7.89103236186249,111,0.9999,500,10,311,10,"1000 100000 1000 100000 1000 100000"
"19","sim-301124431.msf.Rep0",0.259157281597782,0.253406174061683,0.279217763068561,0.279217763068561,0.126725744882644,0.13621111114878,0.109946421556764,0.232079492439471,0.0918028541718986,0.303234375800442,3.5798132743479,111,0.9999,500,10,309,10,"1000 100000 1000 100000 1000 100000"
"20","sim--22286748.msf.Rep0",0.281132923017983,0.215945649940273,0.298734435834062,0.298734435834062,0.121281397573131,0.120111075682548,0.320071226757406,0.0950465140238408,0.15459076017054,0.188899025792533,7.93154302039472,111,0.9999,500,10,315,10,"1000 100000 1000 100000 1000 100000"
